runmin	runmax	lumlo	lumhi	chi2	sigma_z	betax	betay	z0x	z0y	z0z
0	180956	0	0.5	166.354	39.3303	54.5775	60.8882	1.7445	-0.161267	3.43848
0	180956	0.5	1	187.114	37.8635	54.5775	60.8882	1.7445	-0.161267	3.67281
0	180956	1	1000	108.485	36.4883	54.5775	60.8882	1.7445	-0.161267	4.14435
185746	190370	0	0.5	447.011	38.0296	52.1754	60.2895	2.00494	-1.40588	-0.865887
185746	190370	0.5	1	431.505	36.21	52.1754	60.2895	2.00494	-1.40588	-0.979808
185746	190370	1	1.5	164.717	33.4953	52.1754	60.2895	2.00494	-1.40588	-1.22675
185746	190370	1.5	1000	103.126	32.685	52.1754	60.2895	2.00494	-1.40588	-1.15095
191266	194565	0	0.5	141.366	44.0497	37.8511	44.6388	-1.86572	-2.54518	-0.734912
191266	194565	0.5	1	252.358	39.5641	37.8511	44.6388	-1.86572	-2.54518	-1.74969
191266	194565	1	1.5	145.051	35.7858	37.8511	44.6388	-1.86572	-2.54518	-2.16166
191266	194565	1.5	2	103.809	32.8666	37.8511	44.6388	-1.86572	-2.54518	-2.12771
191266	194565	2	1000	79.8586	31.6925	37.8511	44.6388	-1.86572	-2.54518	-2.19222
194567	196584	0	0.5	165.874	41.0941	34.1214	40.5771	-1.91021	-1.25008	-1.47035
194567	196584	0.5	1	212.929	38.8639	34.1214	40.5771	-1.91021	-1.25008	-1.83011
194567	196584	1	1.5	110.051	36.2426	34.1214	40.5771	-1.91021	-1.25008	-1.839
194567	196584	1.5	2	131.125	34.9954	34.1214	40.5771	-1.91021	-1.25008	-1.89768
194567	196584	2	1000	115.887	33.1597	34.1214	40.5771	-1.91021	-1.25008	-2.71728
200000	204805	0	0.5	167.097	42.053	33.1056	36.68	-2.16498	-1.31056	-1.10627
200000	204805	0.5	1	254.068	40.3003	33.1056	36.68	-2.16498	-1.31056	-1.42719
200000	204805	1	1.5	216.165	38.2498	33.1056	36.68	-2.16498	-1.31056	-1.42145
200000	204805	1.5	2	120.875	36.4079	33.1056	36.68	-2.16498	-1.31056	-1.07636
200000	204805	2	2.5	125.941	35.628	33.1056	36.68	-2.16498	-1.31056	-2.06423
200000	204805	2.5	1000	99.5816	34.9457	33.1056	36.68	-2.16498	-1.31056	-0.993183
204808	206113	0	0.5	112.394	43.3426	32.6275	34.6945	-2.23157	-1.63038	-0.525619
204808	206113	0.5	1	123.241	43.2991	32.6275	34.6945	-2.23157	-1.63038	-0.671453
204808	206113	1	1.5	118.128	41.1996	32.6275	34.6945	-2.23157	-1.63038	-0.986128
204808	206113	1.5	2	91.3599	39.0885	32.6275	34.6945	-2.23157	-1.63038	-0.775241
204808	206113	2	2.5	88.8216	38.0333	32.6275	34.6945	-2.23157	-1.63038	-1.2761
204808	206113	2.5	3	109.457	36.4128	32.6275	34.6945	-2.23157	-1.63038	-1.37622
204808	206113	3	1000	97.8386	36.7572	32.6275	34.6945	-2.23157	-1.63038	-0.614817
206162	208122	0	0.5	134.144	42.6744	32.722	37.0229	-2.16385	-1.7177	0.0933578
206162	208122	0.5	1	209.779	41.5152	32.722	37.0229	-2.16385	-1.7177	-0.0431697
206162	208122	1	1.5	166.971	39.376	32.722	37.0229	-2.16385	-1.7177	-0.384798
206162	208122	1.5	2	132.149	38.2975	32.722	37.0229	-2.16385	-1.7177	-0.432086
206162	208122	2	2.5	136.164	36.7566	32.722	37.0229	-2.16385	-1.7177	-0.331517
206162	208122	2.5	3	83.5124	36.359	32.722	37.0229	-2.16385	-1.7177	-0.56821
206162	208122	3	1000	107.088	36.0201	32.722	37.0229	-2.16385	-1.7177	-0.168219
208123	211213	0	0.5	194.715	42.6241	32.2113	34.6173	-1.41029	-0.93417	-1.36048
208123	211213	0.5	1	397.156	41.5777	32.2113	34.6173	-1.41029	-0.93417	-1.18491
208123	211213	1	1.5	283.686	39.0582	32.2113	34.6173	-1.41029	-0.93417	-1.3639
208123	211213	1.5	2	165.471	37.6432	32.2113	34.6173	-1.41029	-0.93417	-1.20733
208123	211213	2	2.5	138.928	36.5757	32.2113	34.6173	-1.41029	-0.93417	-1.26634
208123	211213	2.5	3	97.8124	36.2716	32.2113	34.6173	-1.41029	-0.93417	-1.38933
208123	211213	3	3.5	95.2516	35.3959	32.2113	34.6173	-1.41029	-0.93417	-1.10735
208123	211213	3.5	1000	81.2349	34.2502	32.2113	34.6173	-1.41029	-0.93417	-1.16804
211214	212107	0	0.5	186.901	39.4473	31.9185	30.735	-1.39733	0.399938	-2.97885
211214	212107	0.5	1	560.138	39.4657	31.9185	30.735	-1.39733	0.399938	-3.13899
211214	212107	1	1.5	293.453	37.6641	31.9185	30.735	-1.39733	0.399938	-3.18446
211214	212107	1.5	2	203.745	36.8202	31.9185	30.735	-1.39733	0.399938	-3.06677
211214	212107	2	2.5	182.49	35.5607	31.9185	30.735	-1.39733	0.399938	-3.10479
211214	212107	2.5	3	121.476	35.2129	31.9185	30.735	-1.39733	0.399938	-3.46895
211214	212107	3	3.5	120.982	34.7431	31.9185	30.735	-1.39733	0.399938	-3.61062
211214	212107	3.5	1000	159.035	34.8969	31.9185	30.735	-1.39733	0.399938	-3.96354
212900	215670	0	0.5	161.78	41.4236	26.8294	33.1116	-1.90473	0.698363	-0.497537
212900	215670	0.5	1	360.03	42.1491	26.8294	33.1116	-1.90473	0.698363	-0.988675
212900	215670	1	1.5	234.368	40.4669	26.8294	33.1116	-1.90473	0.698363	-1.45664
212900	215670	1.5	2	168.563	39.1695	26.8294	33.1116	-1.90473	0.698363	-1.44954
212900	215670	2	2.5	157.614	37.9688	26.8294	33.1116	-1.90473	0.698363	-1.41896
212900	215670	2.5	3	127.148	36.8672	26.8294	33.1116	-1.90473	0.698363	-1.37746
212900	215670	3	3.5	126.249	36.0575	26.8294	33.1116	-1.90473	0.698363	-1.82464
212900	215670	3.5	4	120.041	36.4957	26.8294	33.1116	-1.90473	0.698363	-1.93314
212900	215670	4	1000	108.74	35.9687	26.8294	33.1116	-1.90473	0.698363	-1.85471

221694	224486	0	1	688.529	49.9875	22.9973	30.1256	0	2	-5.98035
221694	224486	1	2	759.804	41.937	23.198	30.3885	0	2	-4.61028
221694	224486	2	3	356.073	37.0817	23.4605	30.7324	0	2	-3.91893
221694	224486	3	4	115.785	34.8902	23.548	30.847	0	2	-3.56256
221694	224486	4	99	79.3563	33.4795	23.8154	31.1972	0	2	-3.47501

224487	226163	0	1	430.006	50.5626	23.1642	30.3442	0	2	-6.48413
224487	226163	1	2	978.896	43.2081	23.2152	30.411	0	2	-4.98979
224487	226163	2	3	353.756	37.7596	23.4666	30.7403	0	2	-3.87914
224487	226163	3	4	159.786	35.1279	23.5729	30.8797	0	2	-3.6814
224487	226163	4	5	92.3404	34.468	23.0477	30.1917	0	2	-3.25981
224487	226163	5	99	62.1944	32.3789	23.2308	30.4314	0	2	-3.29468

226996	229706	0	1	392.073	58.4036	22.3395	29.2639	0	2	-8.51759
226996	229706	1	2	1281.73	49.9486	22.3076	29.2222	0	2	-6.46891
226996	229706	2	3	496.538	44.0141	22.2265	29.1158	0	2	-5.42575
226996	229706	3	4	264.247	41.0872	22.1095	28.9626	0	2	-4.93094
226996	229706	4	5	182.072	39.47	22.0289	28.8571	0	2	-4.85734
226996	229706	5	6	132.349	37.8365	22.1557	29.0232	0	2	-4.82769
226996	229706	6	99	55.4	35.1831	23.0723	30.2239	0	2	-3.90892

229707	230270	0	1	156.545	58.1536	22.4971	29.4703	0	2	-7.4578
229707	230270	1	2	369.79	51.5496	22.3625	29.294	0	2	-6.30506
229707	230270	2	3	215.809	45.4496	22.5967	29.6009	0	2	-5.19389
229707	230270	3	4	119.817	43.1247	22.3359	29.2592	0	2	-5.04006
229707	230270	4	5	60.6008	40.3753	23.0332	30.1727	0	2	-4.35104
229707	230270	5	6	42.7397	38.0472	22.4901	29.4612	0	2	-4.35568
229707	230270	6	99	40.8138	35.5889	22.385	29.3236	0	2	-3.55685

230271	231969	0	1	178.065	60.9934	22.8463	29.9279	0	2	-8.77358
230271	231969	1	2	1391.91	51.7735	22.6969	29.7321	0	2	-6.66125
230271	231969	2	3	516.812	45.2294	22.7135	29.7539	0	2	-5.21744
230271	231969	3	4	275.564	41.7019	22.9403	30.051	0	2	-4.58788
230271	231969	4	5	105.592	41.1109	22.5154	29.4944	0	2	-4.49708
230271	231969	5	6	78.2344	39.1648	22.0418	28.8739	0	2	-4.65667
