runmin    runmax    lumlo    lumhi    chi2    sigma_z    betax    betay    z0x    z0y    z0z
200000    253999    0    2    52.7915    63.1094    23    29.5    0    2    -11.7924
200000    253999    2    4    84.6109    47.2172    23    29.5    0    2    -3.42077
200000    253999    4    6    82.694    36.1199    23    29.5    0    2    -0.784563
200000    253999    6    99    72.202    30.3088    23    29.5    0    2    -2.34354
254000    268469    0    2    86.5202    56.7979    23    29    1.4    5.8    -5.39699
254000    268469    2    4    87.3445    48.3103    23    29    1.4    5.8    -7.04892
254000    268469    4    6    85.6809    39.3174    23    29    1.4    5.8    -4.3289
254000    268469    6    99    70.3231    33.2751    23    29    1.4    5.8    -5.81969
268470    999999    0    2    63.1315    49.9364    23    27    1.9    2    -5.99472
268470    999999    2    4    71.153    56.1062    23    27    1.9    2    -12.6071
268470    999999    4    6    84.8077    48.6181    23    27    1.9    2    -10.3874
268470    999999    6    99    75.6045    43.0858    23    27    1.9    2    -11.1131
